title,ingredients,meal_type
Piyaz,"white beans, onion, tomato, parsley, egg, vinegar, olive oil, sumac, salt",side
Potato Salad,"potatoes, green onions, parsley, red pepper flakes, salt, sumac, lemon juice, olive oil, onion, vinegar",salad
Tarator,"parsley, stale bread, walnuts, garlic, olive oil, lemon juice, salt",side
Zerzevat Salad,"onion, tomato, olive oil, lemon juice, sumac, salt",salad
Ezogelin Soup,,soup
Çoban Salad,"tomatoes, cucumbers, green peppers, red onion, parsley, olive oil, lemon juice, salt",salad
Gavurdağı Salad,"tomatoes, cucumbers, green peppers, red onion, parsley, walnuts, olive oil, pomegranate molasses, lemon, salt",salad
Zucchini Yogurt Salad,"zucchinis, yogurt, mayonnaise, garlic, walnuts, dill, salt, olive oil",salad
Roasted Eggplant Salad,"roasted eggplant, tomatoes, green peppers, onions, garlic, olive oil, lemon juice, parsley, salt",salad
Milk Soup,"water, milk, rice, flour, butter, salt",soup
Semolina Dessert,"semolina, flour, sugar, yogurt, sunflower oil, milk, eggs, baking powder, vanilla, pistachios, water, lemon juice",dessert
Tulumba,"water, flour, semolina, butter, sugar, salt, egg, lemon juice, sunflower oil, sugar",dessert
Revani,"egg, sugar, yogurt, olive oil, semolina, flour, baking powder, vanilla, water, sugar",dessert
Beyran Soup,"lamb, rice, beef, butter, garlic, red pepper flakes, salt, black pepper",soup
Hoşmerim,"semolina, cheese, granulated sugar, butter, egg yolk, vanilla",dessert
İzmir Bomba,"flour, sunflower oil, water, powdered sugar, vanilla, chocolate spread",dessert
Celery Root Soup,"celery root, patato, carrot, onion, olive oil, vegetable broth, dill, salt, lemon, milk",soup
Avcı Borek,"ground beef, onion, butter, flour, salt, parsley, phyllo dough, egg, breadcrumbs",side
Borek with Ground Beef,"yufka, ground beef, onion, parsley, salt, olive oil, sesame, milk, eggs",breakfast
Muhallebi,"flour, vanilla, ground cinnamon, milk, sugar, starch",dessert
Saray Sarması,"milk, sugar, flour, cocoa powder, butter, vanilla, coconut, cream, milk",dessert
Ali Paşa Kebab,"diced beef, tomatoes, onions, butter, water, parsley, salt, black pepper, phyllo dough",main
Adana Kebab,"ground meat, red pepper flakes, salt, black pepper, butter, red bell pepper, olive oil",main
Ali Nazik Kebab,"butter, garlic, diced beef, red pepper paste, ground red pepper, salt, yogurt, eggplants",main
Amasra Salad,"tomato, cucumber, onion, green pepper, lettuce, red beet, olive oil, salt, mixed herbs, radishes, lemon juice",salad
