title,ingredients,meal_type
piyaz,"white beans, onion, tomato, parsley, egg, vinegar, olive oil, sumac, salt",side
potato salad,"potatoes, green onions, parsley, red pepper flakes, salt, sumac, lemon juice, olive oil, onion, vinegar",salad
tarator,"parsley, stale bread, walnuts, garlic, olive oil, lemon juice, salt",side
zerzevat salad,"onion, tomato, olive oil, lemon juice, sumac, salt",salad
ezogelin soup,,soup
çoban salad,"tomatoes, cucumbers, green peppers, red onion, parsley, olive oil, lemon juice, salt",salad
gavurdağı salad,"tomatoes, cucumbers, green peppers, red onion, parsley, walnuts, olive oil, pomegranate molasses, lemon, salt",salad
zucchini yogurt salad,"zucchinis, yogurt, mayonnaise, garlic, walnuts, dill, salt, olive oil",salad
roasted eggplant salad,"roasted eggplant, tomatoes, green peppers, onions, garlic, olive oil, lemon juice, parsley, salt",salad
milk soup,"water, milk, rice, flour, butter, salt",soup
semolina dessert,"semolina, flour, sugar, yogurt, sunflower oil, milk, eggs, baking powder, vanilla, pistachios, water, lemon juice",dessert
tulumba,"water, flour, semolina, butter, sugar, salt, egg, lemon juice, sunflower oil, sugar",dessert
revani,"egg, sugar, yogurt, olive oil, semolina, flour, baking powder, vanilla, water, sugar",dessert
beyran soup,"lamb, rice, beef, butter, garlic, red pepper flakes, salt, black pepper",soup
hoşmerim,"semolina, cheese, granulated sugar, butter, egg yolk, vanilla",dessert
i̇zmir bomba,"flour, sunflower oil, water, powdered sugar, vanilla, chocolate spread",dessert
celery root soup,"celery root, patato, carrot, onion, olive oil, vegetable broth, dill, salt, lemon, milk",soup
avcı borek,"ground beef, onion, butter, flour, salt, parsley, phyllo dough, egg, breadcrumbs",side
borek with ground beef,"yufka, ground beef, onion, parsley, salt, olive oil, sesame, milk, eggs",breakfast
muhallebi,"flour, vanilla, ground cinnamon, milk, sugar, starch",dessert
saray sarması,"milk, sugar, flour, cocoa powder, butter, vanilla, coconut, cream, milk",dessert
ali paşa kebab,"diced beef, tomatoes, onions, butter, water, parsley, salt, black pepper, phyllo dough",main
adana kebab,"ground meat, red pepper flakes, salt, black pepper, butter, red bell pepper, olive oil",main
ali nazik kebab,"butter, garlic, diced beef, red pepper paste, ground red pepper, salt, yogurt, eggplants",main
amasra salad,"tomato, cucumber, onion, green pepper, lettuce, red beet, olive oil, salt, mixed herbs, radishes, lemon juice",salad
analı kızlı,"ground beef, onion, egg, rice, flour, tomato paste, butter, water, cooked chickpeas",main
