title,description,instructions,prep_time,cook_time,servings,image,diet_type,meal_type,season,ingredients
Karnıyarık,"A traditional Turkish dish of fried eggplants stuffed with ground beef, onions, and tomatoes.",1. Peel and fry the eggplants. 2. Cook beef with onions and tomatoes. 3. Stuff the eggplants and bake.,25,40,4,,regular,main,all,"[{""ingredient"": 1, ""amount"": 4, ""unit"": ""pcs""}, {""ingredient"": 2, ""amount"": 250, ""unit"": ""g""}, {""ingredient"": 4, ""amount"": 1, ""unit"": ""pcs""}, {""ingredient"": 3, ""amount"": 2, ""unit"": ""pcs""}]"
İmam Bayıldı,Stuffed eggplants simmered in olive oil with onions and garlic.,"1. Fry eggplants. 2. Sauté onions, garlic and tomatoes. 3. Stuff eggplants and simmer with olive oil.",20,40,4,,vegan,main,summer,"[{""ingredient"": 1, ""amount"": 4, ""unit"": ""pcs""}, {""ingredient"": 4, ""amount"": 2, ""unit"": ""pcs""}, {""ingredient"": 7, ""amount"": 3, ""unit"": ""cloves""}, {""ingredient"": 12, ""amount"": 4, ""unit"": ""tbsp""}]"
Menemen,Turkish-style scrambled eggs with tomatoes and green peppers.,1. Sauté green peppers and tomatoes. 2. Crack eggs into pan and stir. 3. Season and serve immediately.,5,10,2,,vegetarian,breakfast,all,"[{""ingredient"": 5, ""amount"": 2, ""unit"": ""pcs""}, {""ingredient"": 3, ""amount"": 2, ""unit"": ""pcs""}, {""ingredient"": 6, ""amount"": 3, ""unit"": ""pcs""}, {""ingredient"": 12, ""amount"": 2, ""unit"": ""tbsp""}]"
Mercimek Çorbası,"A hearty Turkish red lentil soup, perfect for any season.",1. Rinse lentils and boil with onions and carrots. 2. Blend until smooth. 3. Season and serve hot.,10,30,4,,vegetarian,soup,all,"[{""ingredient"": 11, ""amount"": 1, ""unit"": ""cup""}, {""ingredient"": 4, ""amount"": 1, ""unit"": ""pcs""}, {""ingredient"": 16, ""amount"": 1, ""unit"": ""cup""}, {""ingredient"": 14, ""amount"": 1, ""unit"": ""tbsp""}]"
Zeytinyağlı Fasulye,"Cold olive oil-based string bean dish, served as a mezze.",1. Sauté onions. 2. Add beans and tomatoes. 3. Simmer with olive oil.,15,25,4,,vegan,side,all,"[{""ingredient"": 25, ""amount"": 400, ""unit"": ""g""}, {""ingredient"": 4, ""amount"": 1, ""unit"": ""pcs""}, {""ingredient"": 3, ""amount"": 2, ""unit"": ""pcs""}, {""ingredient"": 12, ""amount"": 3, ""unit"": ""tbsp""}]"
Taze Fasulye,Fresh green beans cooked in tomato sauce.,1. Sauté onions and garlic. 2. Add beans and tomato paste. 3. Simmer with water.,15,30,4,,vegan,side,summer,"[{""ingredient"": 5, ""amount"": 300, ""unit"": ""g""}, {""ingredient"": 4, ""amount"": 1, ""unit"": ""pcs""}, {""ingredient"": 8, ""amount"": 1, ""unit"": ""tbsp""}, {""ingredient"": 12, ""amount"": 2, ""unit"": ""tbsp""}]"
Kuru Fasulye,Classic Turkish white bean stew with tomato sauce.,1. Soak beans overnight. 2. Sauté onions and tomato paste. 3. Add beans and simmer until tender.,20,60,4,,regular,main,all,"[{""ingredient"": 25, ""amount"": 300, ""unit"": ""g""}, {""ingredient"": 4, ""amount"": 1, ""unit"": ""pcs""}, {""ingredient"": 8, ""amount"": 1, ""unit"": ""tbsp""}, {""ingredient"": 12, ""amount"": 2, ""unit"": ""tbsp""}]"
Tavuk Sote,Chicken sautéed with mixed vegetables.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 4, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 7, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 12, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 21, ""amount"": 200, ""unit"": ""g""}]"
Tavuk Şiş,Marinated chicken skewers grilled to perfection.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 12, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 19, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 20, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 21, ""amount"": 200, ""unit"": ""g""}]"
Adana Kebap,Spicy minced meat kebab.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 2, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 4, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 19, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 20, ""amount"": 200, ""unit"": ""g""}]"
Beyti Kebap,Kebab wrapped in lavash with tomato sauce and yogurt.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 2, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 7, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 8, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 17, ""amount"": 200, ""unit"": ""g""}]"
Döner,Slowly roasted meat sliced thin.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 2, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 3, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 4, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 12, ""amount"": 200, ""unit"": ""g""}]"
Lahmacun,Turkish flatbread topped with minced meat.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 2, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 3, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 4, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 26, ""amount"": 200, ""unit"": ""g""}]"
Pide,Boat-shaped Turkish flatbread with assorted toppings.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 6, ""amount"": 1, ""unit"": ""pcs""}, {""ingredient"": 15, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 17, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 29, ""amount"": 200, ""unit"": ""g""}]"
Su Böreği,Cheese-filled savory pastry.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 14, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 15, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 17, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 29, ""amount"": 200, ""unit"": ""g""}]"
Mantı,Turkish dumplings served with yogurt.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 6, ""amount"": 1, ""unit"": ""pcs""}, {""ingredient"": 7, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 15, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 17, ""amount"": 200, ""unit"": ""g""}]"
Köfte,Seasoned meatballs grilled or fried.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 2, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 4, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 6, ""amount"": 1, ""unit"": ""pcs""}, {""ingredient"": 7, ""amount"": 200, ""unit"": ""g""}]"
Pilav Üstü Et,Rice served with tender meat.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 4, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 9, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 14, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 21, ""amount"": 200, ""unit"": ""g""}]"
Hünkar Beğendi,Eggplant purée topped with sautéed meat.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 1, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 2, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 14, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 16, ""amount"": 200, ""unit"": ""g""}]"
Çoban Salata,"Fresh salad with tomatoes, cucumbers, and herbs.",1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 3, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 4, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 12, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 26, ""amount"": 200, ""unit"": ""g""}]"
Şakşuka,Fried vegetables in tomato sauce.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 1, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 3, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 4, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 12, ""amount"": 200, ""unit"": ""g""}]"
Yoğurtlu Semizotu,Purslane salad with yogurt dressing.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 12, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 17, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 20, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 26, ""amount"": 200, ""unit"": ""g""}]"
Fırında Tavuk,Oven-baked chicken with spices.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 7, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 12, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 18, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 21, ""amount"": 200, ""unit"": ""g""}]"
Mercimek Köftesi,Lentil balls mixed with bulgur and spices.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 4, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 10, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 11, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 19, ""amount"": 200, ""unit"": ""g""}]"
Biber Dolması,Stuffed peppers with rice and seasonings.,1. Prepare ingredients. 2. Cook accordingly. 3. Serve hot.,10,20,2,,regular,main,all,"[{""ingredient"": 4, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 5, ""amount"": 1, ""unit"": ""pcs""}, {""ingredient"": 8, ""amount"": 200, ""unit"": ""g""}, {""ingredient"": 9, ""amount"": 200, ""unit"": ""g""}]"
