title,ingredients
Banana Pancakes,"banana, flour, milk, egg"
Chocolate Cake,"flour, sugar, cocoa powder, egg, milk, butter"
Vanilla Muffins,"flour, sugar, vanilla, egg, milk, butter"
Omelette,"egg, milk, salt, pepper"
French Toast,"bread, egg, milk, cinnamon, sugar"
Spaghetti Bolognese,"spaghetti, beef, tomato, onion, garlic"
Grilled Cheese,"bread, cheese, butter"
Fruit Salad,"apple, banana, orange, grapes"
Mashed Potatoes,"potato, butter, milk, salt"
Tomato Soup,"tomato, onion, garlic, cream"
Chicken Curry,"chicken, onion, garlic, curry powder, tomato"
Beef Stew,"beef, carrot, potato, onion"
Tuna Sandwich,"bread, tuna, mayo, lettuce"
Egg Salad,"egg, mayo, mustard, lettuce"
Pasta Alfredo,"pasta, cream, cheese, garlic"
Caesar Salad,"lettuce, croutons, chicken, parmesan"
Peanut Butter Toast,"bread, peanut butter"
Greek Salad,"tomato, cucumber, onion, feta, olive"
Rice Pudding,"rice, milk, sugar, cinnamon"
Lemonade,"lemon, sugar, water"
Apple Pie,"apple, flour, sugar, butter, cinnamon"
Minestrone Soup,"carrot, onion, garlic, tomato, pasta"
Avocado Toast,"bread, avocado, salt, pepper"
Baked Salmon,"salmon, lemon, garlic, olive oil"
Tacos,"tortilla, beef, tomato, cheese, lettuce"
Quesadilla,"tortilla, cheese, chicken"
Chili Con Carne,"beef, bean, tomato, chili powder"
Scrambled Eggs,"egg, butter, salt"
Veggie Stir Fry,"carrot, broccoli, bell pepper, soy sauce"
Porridge,"oats, milk, honey"
Garlic Bread,"bread, garlic, butter"
Mac and Cheese,"pasta, cheese, milk, butter"
Cucumber Sandwich,"bread, cucumber, butter"
Fruit Smoothie,"banana, strawberry, milk, yogurt"
Meatballs,"beef, onion, garlic, egg, breadcrumb"
Chicken Nuggets,"chicken, breadcrumb, egg"
Pumpkin Soup,"pumpkin, onion, garlic, cream"
Falafel,"chickpeas, garlic, parsley, onion"
Hummus,"chickpeas, garlic, tahini, lemon"
Guacamole,"avocado, onion, tomato, lemon"
Pita Pizza,"pita, tomato sauce, cheese"
Rice and Beans,"rice, bean, onion, garlic"
Bulgur Salad,"bulgur, parsley, tomato, lemon"
Yogurt Parfait,"yogurt, granola, berry"
Stuffed Peppers,"pepper, rice, tomato, beef"
Mushroom Risotto,"rice, mushroom, onion, parmesan"
Zucchini Fritters,"zucchini, egg, flour, cheese"
Cheesecake,"cream cheese, sugar, egg, biscuit"
Baked Potato,"potato, cheese, butter, sour cream"
Shrimp Pasta,"pasta, shrimp, garlic, cream"
